Nom_Station,Code_ID,Latitude,Longitude,Altitude_m,fid,GMBA_V2_ID,GMBA_V1_ID,MapName,WikiDataUR,MapUnit,Hier_Lvl,Feature,Area,Perimeter,Elev_Low,Elev_High,Path,Path_ID,Level_01,Level_02,Level_03,Level_04,Level_05,Level_06,Level_07,Level_08,Level_09,Level_10,Select_300,Countries,CountryISO,DBaseName,AsciiName,Name_AR,Name_DE,Name_EN,Name_ES,Name_FR,Name_PT,Name_RU,Name_ZH,LocalNames,ColorAll,ColorBasic,Color300,Aire
Aude,,42.77,1.93,1635,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Aude,,42.81,1.89,1171,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Aude,,42.85,2.01,885,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Aude,,42.88,2.18,276,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Aude,,42.85,2.01,885,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Ariège,,42.9,1.93,485,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Ariège,,42.97,1.71,575,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Ariège,,42.77,1.5,712,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Pyrénées-Orientales,,42.41,1.98,1350,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Pyrénées-Orientales,,42.52,2.06,1788,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Sabiñánigo,,42.51,-0.36,788,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Hautes-Pyrénées,,42.94,0.14,2877,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Hautes-Pyrénées,,42.87,-0.0,670,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Pyrénées-Atlantiques,,42.88,-0.4,1270,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Pyrénées-Atlantiques,,43.35,-1.62,38,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Sant Martí de Canals,,42.23,0.99,648,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Sabiñánigo,,42.51,-0.36,788,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
