Nom_Station,Code_ID,Latitude,Longitude,Altitude_m,fid,GMBA_V2_ID,GMBA_V1_ID,MapName,WikiDataUR,MapUnit,Hier_Lvl,Feature,Area,Perimeter,Elev_Low,Elev_High,Path,Path_ID,Level_01,Level_02,Level_03,Level_04,Level_05,Level_06,Level_07,Level_08,Level_09,Level_10,Select_300,Countries,CountryISO,DBaseName,AsciiName,Name_AR,Name_DE,Name_EN,Name_ES,Name_FR,Name_PT,Name_RU,Name_ZH,LocalNames,ColorAll,ColorBasic,Color300,Aire
Sant Pau de Segúries,CI,42.25839,2.36429,852,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Núria (1.971 m),DG,42.39848,2.15517,1971,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Sant Joan de les Abadesses,M6,42.22189,2.2427,730,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Ulldeter (2.364 m),Z4,42.42205,2.2524,2364,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Ulldeter (2.413 m),ZC,42.42102,2.24593,2413,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Sort,XH,42.40533,1.12993,679,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Tírvia,YG,42.51881,1.24244,954,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Bonabé (1.693 m),YT,42.75089,1.07527,1693,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Bonaigua (2.266 m),Z1,42.64691,0.98486,2266,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Certascan (2.400 m),Z5,42.70029,1.27201,2400,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Espot (2.519 m),Z7,42.53412,1.05476,2519,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
Salòria (2.451 m),ZB,42.51939,1.36597,2451,181.0,11756.0,2.03.01,Pyrenees,https://www.wikidata.org/wiki/Q12431,Aggregated,4.0,Mountain range with well-recognized name,39961.82746,2609.58378,0.0,3307.0,Eurasia > Europe > Southwest European Highlands > Pyrenees,12155 > 12157 > 12259 > 11756,Eurasia,Europe,Southwest European Highlands,Pyrenees,,,,,,,x,"Andorra, Spain, France","AND, ESP, FRA",Pyrenees,Pyrenees,البرانس,Pyrenäen,Pyrenees,Pirineos,Pyrénées,Pireneus,Пиренеи,比利牛斯山,Pireneu (Aragonese); Pirinioak (Basque); Pirineus (Catalan); Pirenèus (Occitan),3.0,0.0,3.0,4059587.631
